"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
2;",,,,,,,,,,,,,,,";"buzzardLabel";16;"";;;
3;"C4";"0603C";1;"C1608X7S1A475K080AC";;;
4;"Q2,Q1";"SOT-23-3";2;"NPN-SOT-23-3";;;
5;"R5,R6";"0603R";2;"10k";;;
6;"C2,C3";"0603C";2;"CL10A226MPCNUBE";;;
7;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
8;"H2,H4,H3,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
9;"JP2,JP1,JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";3;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
10;"D3";"0402LED";1;"purple";;;
11;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
12;"R2,R7,R9";"0402R";3;"2k2";;;
13;"K4,K1";"easyC-connector";2;"easyC-SMD";;;
14;"U1,U3";"PC357_OPTO";2;"PC357_OPTO";;;
15;"R4,R11";"0603R";2;"10R";;;
16;"R3,R10";"0603R";2;"330R";;;
17;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
18;"D1,D4";"0402LED";2;"blue";;;
19;"C1";"0603C";1;"0.1uF";;;
20;"K3,K6";"SRD_RELAY_5V";2;"SRD_RELAY_5V";;;
21;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
22;"U4";"tps613222a";1;"TPS613222A";;;
23;"R1,R8";"0603R";2;"100R";;;
24;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
25;"D5,D2";"M4_DIODA";2;"M4_DIODA";;;
26;"FD1,FD2";"FIDUCIAL_23";2;"FIDUCIAL";;;
27;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
28;"G***";"Symbol-Front-Relay";1;"LOGO";;;
29;"K7,K5";"TERMINAL_KF235-5.0-3P";2;"TERMINAL_KF235-5.0-3P";;;
30;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
31;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
